node,name,type,degree,in_degree,out_degree,degree_centrality,betweenness_centrality,pagerank,eigenvector_centrality,closeness_centrality
33462182,33462182,Paper,14,8,6,0.15385,0.03367,0.051664,2e-05,0.16529
copd,copd,Disease,7,7,0,0.07692,0.00998,0.047508,0.22521,0.1942
myocardial infarction,myocardial infarction,Disease,11,8,3,0.12088,0.04418,0.039713,0.33964,0.20748
breast cancer,breast cancer,Disease,14,11,3,0.07692,0.08639,0.035261,0.0043,0.15763
37019876,37019876,Paper,10,5,5,0.10989,0.02302,0.034523,0.0,0.11607
alzheimer's disease,alzheimer's disease,Disease,10,9,1,0.10989,0.02449,0.032807,2e-05,0.14168
heart failure,heart failure,Disease,6,5,1,0.06593,0.00023,0.031862,0.25668,0.16857
lung cancer,lung cancer,Disease,10,7,3,0.10989,0.14426,0.030533,0.16124,0.2227
type 2 diabetes,type 2 diabetes,Disease,18,11,7,0.17582,0.09991,0.030404,0.43374,0.2227
pneumonia,pneumonia,Disease,5,5,0,0.05495,3e-05,0.022649,0.17583,0.15661
35078996,35078996,Paper,8,3,5,0.08791,0.0424,0.021426,0.00091,0.12912
major depressive disorder,major depressive disorder,Disease,10,6,4,0.10989,0.00699,0.020248,0.34132,0.17719
36402859,36402859,Paper,9,4,5,0.08791,0.04711,0.019565,0.07852,0.17095
sepsis,sepsis,Disease,8,6,2,0.08791,0.02429,0.019159,0.1797,0.16402
multiple sclerosis,multiple sclerosis,Disease,9,7,2,0.0989,0.00136,0.016869,0.32408,0.17216
acute kidney injury,acute kidney injury,Disease,2,2,0,0.02198,5e-05,0.016698,0.07403,0.15077
brca2,brca2,Gene,6,2,4,0.03297,0.00022,0.01596,0.00083,0.12578
brca1,brca1,Gene,6,2,4,0.03297,0.00022,0.01596,0.00083,0.12578
34942836,34942836,Paper,7,2,5,0.06593,0.0034,0.014689,0.0,0.06593
neuroinflammatory diseases,Neuroinflammatory Diseases,MeSHTerm,1,1,0,0.01099,0.0,0.011974,0.0,0.09445
disease progression,Disease Progression,MeSHTerm,1,1,0,0.01099,0.0,0.011974,0.0,0.09445
immunotherapy,Immunotherapy,MeSHTerm,1,1,0,0.01099,0.0,0.011974,0.0,0.09445
tau proteins,tau Proteins,MeSHTerm,1,1,0,0.01099,0.0,0.011974,0.0,0.09445
amyloid beta-peptides,Amyloid beta-Peptides,MeSHTerm,1,1,0,0.01099,0.0,0.011974,0.0,0.09445
alzheimer disease,Alzheimer Disease,MeSHTerm,1,1,0,0.01099,0.0,0.011974,0.0,0.09445
metformin,metformin,Drug,5,2,3,0.02198,0.0,0.011673,0.07065,0.16402
diffuse large b-cell lymphoma,diffuse large b-cell lymphoma,Disease,3,2,1,0.03297,0.00667,0.010588,0.0,0.07738
"receptors, chimeric antigen","Receptors, Chimeric Antigen",MeSHTerm,1,1,0,0.01099,0.0,0.010524,0.0,0.06633
"immunotherapy, adoptive","Immunotherapy, Adoptive",MeSHTerm,1,1,0,0.01099,0.0,0.010524,0.0,0.06633
cytokine release syndrome,Cytokine Release Syndrome,MeSHTerm,1,1,0,0.01099,0.0,0.010524,0.0,0.06633
hematologic neoplasms,Hematologic Neoplasms,MeSHTerm,1,1,0,0.01099,0.0,0.010524,0.0,0.06633
"antigens, cd19","Antigens, CD19",MeSHTerm,1,1,0,0.01099,0.0,0.010524,0.0,0.06633
